Question,Answer
How many total pre-license education hours are required for an Ohio real estate salesperson?,120 total classroom hours.
How many Ohio Real Estate Law hours are required pre-license?,40 hours of Ohio Real Estate Law.
How many Real Estate Principles & Practices hours are required pre-license?,40 hours of Real Estate Principles & Practices.
How many Real Estate Finance hours are required pre-license?,20 hours of Real Estate Finance.
How many Real Estate Appraisal hours are required pre-license?,20 hours of Real Estate Appraisal.
How long is a salesperson license valid in Ohio?,3 years.
When does an Ohio real estate license expire?,On the licensee’s birthday every 3 years.
How many continuing education hours are required each renewal cycle?,30 hours every 3 years.
How many of the 30 CE hours must be Core Law?,9 hours must be Ohio Core Law.
How many Core Law hours must be completed in the final year of the cycle?,3 of the 9 Core Law hours must be completed in the final year.
What happens if CE is not completed before renewal?,The license becomes inactive until requirements are satisfied.
How many post-license education hours are required for a new salesperson?,20 hours within the first year after initial licensure.
What happens if post-license education is not completed on time?,The license is suspended until the requirement is completed.
What must be completed before reactivating an inactive license?,All required continuing education must be current before reactivation.
Can a salesperson perform licensed activities while inactive?,No. An inactive licensee cannot perform licensed real estate activities.
What experience is required to apply for a broker license?,At least 2 years of active experience as a licensed salesperson.
How many education hours are required to become a broker?,120 hours of broker-specific education.
Who must a salesperson work under?,A licensed real estate broker.
Who is responsible for supervising a salesperson?,The broker.
Does Ohio offer full reciprocity with all states?,No. Ohio has limited reciprocity agreements.
What is required for an out-of-state licensee seeking Ohio licensure?,They must meet Ohio’s requirements and pass the Ohio law portion of the exam.
Can continuing education carry over to the next renewal cycle?,No. CE does not carry over.
If a license expires and is not renewed, what status does it become?,Inactive until reinstated according to Division rules.
Who regulates licensing in Ohio?,The Ohio Division of Real Estate and Professional Licensing.
Who has disciplinary authority over licensees?,The Ohio Real Estate Commission.
