Question,Answer
What must appear in all real estate advertising?,The brokerage’s licensed name must be clearly displayed.
Who is responsible for advertising compliance?,The broker.
Can a salesperson advertise independently of their broker?,No. All advertising must be under the broker’s supervision.
What is blind advertising?,Advertising property without identifying the brokerage; illegal in Ohio.
Must the broker’s name be more prominent than the salesperson’s name?,The broker’s name must be clear and identifiable; it cannot be omitted or hidden.
Can a team name replace the broker’s name in advertising?,No. The broker’s licensed name must still appear.
What is the rule regarding team advertising?,A team name may be used but cannot imply the team is a separate brokerage.
Can a team name include terms like Realty or Company?,Not if it implies the team is an independent brokerage entity.
Do social media posts count as advertising?,Yes. All online and social media marketing is considered advertising.
Must social media advertising include the brokerage name?,Yes, brokerage identification is still required.
Is misleading advertising permitted?,No. Advertising must not be false, deceptive, or misleading.
What is an example of misleading advertising?,Advertising property features that are not accurate or making false claims about services.
Can a licensee advertise property they do not have permission to market?,No. Advertising without proper authorization is prohibited.
Can the word “free” be used in advertising?,Only if the offer is truly free and not misleading.
Must inducements be disclosed?,Yes. Any special incentives must be clearly disclosed.
Can a broker advertise another broker’s listing without permission?,No. Permission is required.
Must a licensee disclose if they are the owner of a property being advertised?,Yes. License status must be disclosed when advertising personally owned property.
Can advertising guarantee a sale price?,No. Guarantees or misleading promises are prohibited.
Is comparative advertising allowed?,Only if it is truthful and not misleading.
Can a salesperson use an unregistered trade name in advertising?,No. Advertising must use the brokerage’s licensed name.
Who may approve advertising content?,The supervising broker.
Can advertising omit material facts about a property?,No. Omission of material facts may be considered misleading.
